Anemia;Appendicitis;0.031
Dementia;AtopicDermatitis;0.06
Osteoporosis;PatentDuctusArteriosus;0.156
Sinusitis;MentalRetardation;0.031
Hypertension;KidneyFailure;0.5
Hyperlipidemia;Hyperkalemia;0.156
Hypothyroidism;Hyperthyroidism;0.406
Sarcoidosis;Tuberculosis;0.406
Asthma;Pneumonia;0.375
LactoseIntolerance;IrritableBowelSyndrome;0.468
UrinaryTractInfection;Pyelonephritis;0.656
Psychology;CognitiveScience;0.593
Adenovirus;Rotavirus;0.437
Migraine;Headache;0.718
HepatitisB;HepatitisC;0.562
Carcinoma;Neoplasm;0.75
Pulmonarystenosis;Aorticstenosis;0.531
Breastfeeding;Lactation;0.843
Pain;Ache;0.875
Measles;Rubeola;0.906
DownSyndrome;Trisomy;0.875
Renalfailure;Kidneyfailure;1
Abortion;Miscarriage;0.825
Delusion;Schizophrenia;0.55
Metastasis;Adenocarcinoma;0.45
Calcification;Stenosis;0.5
Mitralstenosis;Atrialfibrillation;0.325
Rheumatoidarthritis;Lupus;0.275
Carpaltunnelsyndrome;Osteoarthritis;0.275
Diabetesmellitus;Hypertension;0.25
Acne;Syringe;0.25
Antibiotic;Allergy;0.3
Multiplesclerosis;Psychosis;0.25
Appendicitis;Osteoporosis;0.25
Depression;Cellulitis;0.25
Hyperlipidemia;Metastasis;0.25
Heart;Myocardium;0.75
Stroke;Infarct;0.7
